Nombre,Musculos,Descripcion,Imagen,Tag
Press de banca con barra,Pectoral,"Échese sobre un banco. Las palmas de las manos deben estar hacia arriba. Baje lentamente el peso hasta tocar la parte central del tórax. Empuje la barra hacia arriba hasta que los brazos estén completamente estirados. Vuelva a descender la barra hasta tocar la parte central del tórax y repita el movimiento.","https://www.cambiatufisico.com/wp-content/uploads/press-banca-barra.jpg","Pectoral mayor,Deltoides anterior,Triceps"
Press de banca con barra,Pectoral,"Échese sobre un banco. Las palmas de las manos deben estar hacia arriba. Baje lentamente el peso hasta tocar la parte central del tórax. Empuje la barra hacia arriba hasta que los brazos estén completamente estirados. Vuelva a descender la barra hasta tocar la parte central del tórax y repita el movimiento.","https://www.cambiatufisico.com/wp-content/uploads/press-banca-agarre-ancho.jpg","Pectoral mayor,Deltoides anterior,Triceps"
Pullover con barra,Pectoral,"Para ejecutar correctamente el pullover con barra deberemos, en primera instancia, acostarnos sobre un banco con una barra usando un agarre  que vaya a la altura de los hombros. Sostendremos la barra recta por encima de nuestro pecho con un doblez en nuestros brazos. Esta será nuestra posición inicial. Mientras mantenemos los brazos en la posición, bajaremos el peso poco a poco dibujando un arco que vaya detrás de la cabeza mientras se respira adentro hasta que sienta un estiramiento en el pecho. En ese punto, llevaremos la barra de nuevo a la posición inicial siguiendo el mismo recorrido que realizamos anteriormente para bajar la barra y exhalaremos a medida que realizamos este movimiento.  Mantendremos el peso en la posición inicial un segundo y repetiremos el movimiento para el número prescrito en nuestra rutina de ejercicios.","https://www.cambiatufisico.com/wp-content/uploads/pull-over-barra.jpg","Pectoral mayor,Deltoides anterior"
Cruces en polea baja,Pectoral mayor,"Posición inicial: Para empezar, coloca los manerales en la parte baja de las poleas y selecciona la resistencia que vayas a utilizar. No pongas demasiado, es un ejercicio de aislamiento donde no se requieren grandes pesos. Colócate de pie, con una polea en cada mano, en tensión. Las palmas de las manos deben estar mirando al frente, las manos a la altura de la cintura y los brazos estirados pero no bloqueados. Movimiento: Con una ligera flexión de brazos , sube las manos hacia arriba y hacia la línea media del cuerpo. Tus manos deben acabar juntas en lo alto del pecho, con las palmas mirando hacia arriba. Intenta realizar una pequeña pausa en esta posición, aguantando la contracción. Después vuelve a la posición inicial.","https://www.cambiatufisico.com/wp-content/uploads/cruces-polea-baja1.jpg","Pectoral mayor,Deltoides anterior"
Press con mancuernas en banco declinado,Pectoral inferior,"Túmbate boca arriba sobre un banco declinado entre 30 y 45 grados. El torso debe estar estabilizado por completo de la cabeza a los pies, con las piernas dobladas y los pies asegurados. Coge una mancuerna con cada mano y extiende los brazos para mantener las mancuernas sobre el pecho mientras se tocan con las palmas mirando en dirección a los pies. Esta es la posición inicial. Dobla los brazos para bajar las mancuernas hacia los lados del pecho, manteniendo los codos apuntando hacia los lados. Toma aire y aguanta la respiración mientras comienzas a bajar el peso. Invierte la dirección cuando las mancuernas se aproximen al nivel del pecho, extendiendo por completo los brazos para llevar las mancuernas a la posición inicial siguiendo un arco. Expulsa el aire con fuerza tras pasar el punto de estancamiento (el punto más difícil del recorrido). Detente un instante con los brazos bloqueados pero no hiperextendidos. Repite el movimiento. Asegúrate de elevar las mancuernas rectas para que estén en un plano vertical sobre los hombros en la posición más alta.","https://www.cambiatufisico.com/wp-content/uploads/Press-declinado-con-mancuernas.jpg","Pectoral inferior"
Press con barra en banco declinado,Pectoral inferior,"Acostados sobre un banco declinado de press con cabeza, hombros y gluteos descansando sobre el respaldo, y un ligero arco en la espina lumbar. La barra debe situarse a una altura accesible y estar colocada directamente sobre la cara. Utilizad un agarre prono (palmas mirando al frente) con las manos aproximadamente separadas a la anchura de vuestros hombros. La distancia precisa dependerá de vuestra capacidad para equilibrar el peso y el tipo de barra utilizada. Sacad la barra y estirad los brazos, colocándolos directamente encima del cuello. Es el punto de partida. Tomad más aire de lo habitual y retened lo cuando bajéis la barra hacia la mitad del pecho. Al aproximaros a los pectorales, revertid la dirección y devolved el peso al punto de partida. Expulsad el aire al superar la parte más difícil de la fase de subida. Los codos deben apuntar hacia adelante y mantenerse pegados a los lados durante el ascenso y el descenso. Repetid las veces prescritas a una velocidad moderada.","https://www.cambiatufisico.com/wp-content/uploads/Press-declinado-con-barra.jpg","Pectoral inferior"
Fondos entre bancos,Triceps,"Ejecución: Colocad dos bancos paralelos entre ellos, separados 90 a 120 centímetros; sentaos a los lados en el medio de un banco. Colocad las manos al lado de las caderas, sujetando el borde del banco con los dedos. Extended las piernas y colocad los talones encima del otro banco. Apretad a través de las palmas para extender los brazos, elevando los gluteos del banco. Manteniendo el pecho elevado y los ojos al frente, doblad lentamente los codos, bajando los gluteos hacia el suelo hasta que los brazos queden paralelos al piso y los codos se acerquen a los 90 grados. Deteneos brevemente, y luego subid con fuerza los brazos hasta llegar al punto de partida. Apretad los tríceps a tope al final del movimiento antes de pasar a la siguiente repetición. Consejos: No bajéis más que lo que resulte cómodo para los hombros, el pecho y los codos; así evitaréis riesgos de lesiones. Para aumentar la intensidad, pedidle a vuestro compañero que coloque discos sobre vuestro cuerpo, para ir quitándolos cuando sintáis fatiga. También podéis colocar una mancuerna entre las piernas para aumentar la sobrecarga. Aumentad la congestión y el aporte de sangre hacia el músculo tardando hasta cinco segundos en bajar en cada una de las repeticiones. Si no conocéis bien este ejercicio y os parece demasiado difícil, colocad los pies planos contra el piso hasta que podáis hacer el movimiento con los pies elevados.","https://www.cambiatufisico.com/wp-content/uploads/2012/01/fondos-entre-bancos.jpg","Triceps"
Dominadas,Dorsal,"Agárrate a una barra horizontal con un agarre prono (las palmas mirando hacia fuera), con las manos separadas unos 20 centímetros más que la anchura de los hombros. Extiende los brazos por completo y relaja los hombros para que los dorsales queden totalmente estirados. Inspira profundamente y aguanta la respiración mientras contraes los dorsales para elevarte hacia la barra. Mantén los codos a los lados y hacia fuera, y bájalos para que tu puedas elevarte. Sigue tirando hasta que la mandíbula alcance el nivel de la barra o ligeramente por encima. Expulsa el aire y baja hasta la posición inicial de manera controlada. Repite varias veces.","https://www.cambiatufisico.com/wp-content/uploads/dominadas5.jpg","Dorsal, Biceps"
Jalones frontales,Dorsal,"Sujeta fuertemente los ángulos de la barra larga, con las palmas al frente. El torso debe estar erguido, los brazos completamente extendidos y tus hombros elevados en la forma de una amplia letra Y. Si tienes que elevarte para poder sujetar la barra, asegúrate que primero haces una cierta tracción de la misma, para a continuación sentarte y asegurar tus piernas antes de empezar. Mantén el torso vertical y erguido, contrayendo al tiempo los músculos de tu espalda baja. Para iniciar el movimiento inhala de una forma superior a lo normal y retén la respiración. Mantén los hombros en la posición inicial y tira hacia abajo con tus brazos, dirigiendo el movimiento con los codos hacia abajo. Realiza un tirón de la barra directamente hacia abajo, pasando la misma frente a la cabeza hasta el nivel de los hombros. Al tiempo que haces el tirón mantén los hombros hacia atrás y a los lados, en el mismo plano que tu cuerpo. Exhalas el aire tan pronto como termines el movimiento y mantén la posición baja por uno o dos segundos antes de retomar controlando el movimiento a la posición inicial. Haz una breve pausa para un mejor estiramiento de los hombros en la posición superior del ejercicio y repite el movimiento. Asegúrate que tus brazos están siempre al principio de la repetición en una completa extensión.","https://www.cambiatufisico.com/wp-content/uploads/jalones-frontales1.jpg","Dorsal,Biceps"
Jalones frontales con brazos rectos, Dorsal inferior,"De pie, separado entre 25 y 35 centímetros de una polea alta, de cara a la pila de placas. Agarra una barra recta con un agarre prono (palmas hacia abajo) con las manos separadas a una distancia igual a la anchura de los hombros. Coloca los brazos rectos sobre la cabeza con un ángulo de 15 a 20 grados y dobla los codos ligeramente. Si eres alto, dobla las rodillas para que los brazos queden relativamente rectos cuando los extiendas sobre la cabeza. Toma aire y aguanta la respiración mientas tiras de la barra hacia abajo con los brazos rectos a lo Concéntrate en tirar desde los hombros hasta que la barra esté a la altura de la cadera. Mantén el torso recto mientras tiras hacia abajo y contrae los músculos de la espalda baja para mantener esta postura. Aguanta la contracción en la parte baja durante dos segundos. Expulsa el aire mientras devuelves la barra de manera controlada a la posición inicial. Detente un instante en la posición alta y luego repite.","https://www.cambiatufisico.com/wp-content/uploads/jalones-brazos-rectos1.jpg","Dorsal, Biceps"
Remo con barra,Dorsal ancho,"Incline el pecho hacia adelante en un ángulo de unos 45º con las caderas, agarrando la barra con una distancia entre las manos igual al ancho de los hombros y con las palmas hacia abajo. Eleve la barra hasta que toque la parte inferior del pecho, manteniendo la columna vertebral recta y las rodillas ligeramente flexionadas. Baje la barra lentamente hasta volver a la posición inicial.","https://www.cambiatufisico.com/wp-content/uploads/remo-barra3.jpg","Dorsal ancho,erector de la espina dorsal,trapecio,romboides,deltoides posterior"
Buenos días con barra de pie,Lumbar,"Para el buenos días con barra seleccionaremos una barra libre con una carga moderada. Apoyaremos la barra sobre nuestro trapecio. Desde una posición totalmente vertical y con el abdomen controlando la postura comenzaremos a flexionar la cadera y ligeramente las rodillas inclinando el cuerpo hacia delante. La mirada debe orientarse en todo momento hacia delante.","https://www.cambiatufisico.com/wp-content/uploads/buenos-dias-barra1.jpg","erectores espinales,gluteo mayor,recto abdominal,oblicuos,trapecio"
Peso Muerto,Lumbar,"Posición de los pies: Colocad los pies planos sobre el suelo, algo menos separados que la anchura de los hombros, con los dedos al frente o apuntando ligeramente hacia fuera. Así tenemos una base estable que permite que las rodillas vayan sobre los dedos de los pies mientras descendemos. Poneos de pie directamente encima de la barra. Cuando miréis hacia abajo la barra debe quedar sobre el empeine de los pies, tocando las tibias. Posición del cuerpo: Doblad las rodillas y bajad las caderas hacia una posición de sentadilla profunda; los muslos deben formar ángulo de 45 grados respecto a los gemelos. Mantened los gluteos hacia abajo y los brazos estirados durante todo el movimiento. Los hombros quedarán hacia atrás y el pecho hacia fuera, con la sección media hacia dentro y contraída. Elige un agarre: Agarra la barra con agarre supino equidistante del centro, separando las manos algo más que las piernas y manteniendo los brazos estirados. Las manos deben quedar por fuera de las piernas para que no las arrastres sobre las tibias. También puedes usar un agarre alterno (una mano en supinación, otra en pronación), que impide que la barra se escape de las manos y permite usar más peso. Algunos powerlifter prefieren el agarre prono de “gancho”, en el que las palmas miran hacia atrás y los 2 ó 3 primeros dedos se arrollan sobre los pulgares. Este método supone práctica y puede resultar doloroso al principio, pero permite usar pesos grandes sin ayuda de las agarraderas y también da mayor fuerza de agarre. Aplana la espalda: Para aplanar la espalda hay que mantener los hombros atrás y el pecho fuera. Debes tener la espalda baja en la posición contraída durante todo el movimiento para que así se mantenga la curvatura normal de la columna y nunca se redondee. No extendáis ni flexionéis la columna; mantened contraídos los músculos de la espalda baja para que soporten la tensión aplicada sobre la columna vertebral y los discos. Concéntrate: Concéntrate en cada repetición en la biomecánica, sobre todo durante las series de calentamiento. Cuando usas un estilo correcto y tu cuerpo empieza a repetirlo, se convierte en automático y te asegura de que estás haciendo las cosas bien con grandes pesos. El estilo incorrecto llama a la lesión. Posición de la cabeza: Mira al frente o ligeramente hacia arriba. Mirar hacia abajo aumenta el redondeamiento de la espalda y hace que el cuerpo se incline demasiado hacia delante. Mirar demasiado alto también puede imponer estrés indebido sobre las vértebras cervicales.","https://www.cambiatufisico.com/wp-content/uploads/peso-muerto2.jpg","Lumbar,Biceps Femoral,Gluteo"
Curl con barra,Biceps,"Inicio: De pie, sujetando una barra con el agarre a la anchura de los hombros y los brazos extendidos hacia abajo. Mantener las rodillas ligeramente flexionadas. Manteniendo el tronco erguido (no inclinarse hacia atrás al levantar el peso), contraer los bíceps para elevar la barra. Hay que asegurarse de que los codos permanecen pegados a los costados e impedir que se desplacen hacia fuera o que se eleven. Lentamente, bajar el peso a la posición de inicio. Variaciones: Utilizar tanto una barra recta como una barra EZ para realizar este ejercicio. Algunos encuentran que ésta resta presión a las muñecas ya que las dirige en una posición neutra.","https://www.cambiatufisico.com/wp-content/uploads/2011/02/curl-barra-de-pie.jpg","Biceps,braquial,braquiorradial,deltoides anterior,antebrazo"
Curl concentrado,Biceps,"Inicio: Sentado sobre un banco plano o una silla con los pies planos sobre el suelo, por delante del tronco. Mantener una mancuerna con una mano y colocar la otra sobre la pierna contralateral para sujetarse. Flexionarse hacia delante a nivel del abdomen con el brazo que trabaja extendido hacia abajo entre las piernas y el codo apoyado contra la cara interna del muslo del mismo lado. Ejecución: Con el codo apoyado en la pierna para estabilizar la parte superior del brazo, hacer el curl levantando el peso tanto como sea posible con la palma dirigida hacia arriba durante todo el movimiento. Contraer el bíceps contando hasta uno y al final, mientras se rota la muñeca ligeramente hacia fuera, volver a la posición de inicio. Hacer todas las repeticiones con ese brazo y luego cambiar al otro. Variaciones: Puede hacerse el curl concentrado de pie (flexionado a nivel del abdomen) sujetándose sobre una estructura estable con el brazo que no trabaja colocado sobre la pierna. Consejo avanzado: Para implicar la cabeza larga del bíceps (que es la que genera el perfil del bíceps) así como los músculos braquiorradiales (del antebrazo), no girar la palma hacia arriba al elevar el peso; mantenerla dirigida hacia adentro, como si se estuviera haciendo un curl en martillo. Algunas alternativas a este ejercicio pueden ser el  curl concentrado en polea y el curl concentrado en polea tumbado.","https://www.cambiatufisico.com/wp-content/uploads/2011/03/Curl-concentrado.jpg","Biceps,braquial,braquiorradial"
Curl en polea de pie,Biceps,"El curl en polea se realiza en pola baja. Parado mirando hacia el aparato, tomando el mango en supinación. Con los codos pegados a los costados, elevar el peso tanto como sea posible. Mantener la contracción contando hasta uno al final del movimiento y, a continuación, volver a la posición de inicio. La diferencia podría estar dada en los llamados “momentos de fuerza”, debido a que en este ejercicio la resistencia está ubicada en la polea, por lo que hace un poco más complicado el movimiento de partida de la flexión y más sencilla la última parte. Puedes variar los agarres. También es recomendable seguir los mismos consejos que en los ejercicios anteriores de bíceps. También se puede realizar con la polea a una mano. Consejo avanzado: Al final de cada repetición, elevar los codos unos pocos centímetros o aumentar la contracción del bíceps.","https://www.cambiatufisico.com/wp-content/uploads/2011/02/Curl-en-polea-de-pie.jpg","Biceps,braquial,braquiorradial,deltoides anterior,antebrazo"
Extensiones de tríceps tumbado con barra Z (Press Francs),Triceps,"Echado en el banco, sujete la barra con los brazos extendidos por encima del pecho. Con las palmas hacia arriba, deje poca distancia entre las manos, unos 15 cm. Flexione los codos y baje la barra hasta tocar la frente. Empuje la barra hacia arriba, hasta que los codos queden bloqueados. Vuelva lentamente a la posición inicial.","https://www.cambiatufisico.com/wp-content/uploads/2011/02/Press-Frances.jpg","Triceps,pectorales,deltoides,antebrazos"
Press de banca con barra y agarre cerrado,Triceps,"Tumbaos de espaldas sobra una banca plana con los pies firmes sobre el suelo. Para una mayor seguridad emplead una banca con soporte para la barra, de forma que ésta ya esté apoyada a una distancia equivalente a la longitud de los brazos. Coged la barra con las manos por encima y una separación entre ellas de unos 20-25 centímetros –por el interior de la amplitud de hombros–. Rodead la barra con los pulgares para mayor seguridad. Prestad atención a no usar una separación de manos muy estrecha, puesto que eso generará una indebida tensión sobre las muñecas, pero sin embargo no añadirá más tensión a los tríceps. Con cuidado sacad la barra del soporte y mantenedla sobre el pecho con los brazos completamente estirados. Doblad los brazos para bajar la barra lentamente hacia la parte inferior del pectoral, manteniendo los codos cercanos al cuerpo. Para reducir la tensión de los pectorales mantened los codos siempre pegados al cuerpo y evitad que éstos se separen hacia fuera lateralmente. No rebotéis la barra sobre el pecho, en su lugar cuando ésta se acerque a un par de centímetros o así del mismo, reducid la velocidad del movimiento e invertid la dirección empujando hacia arriba. Ahora empujad con fuerza la barra hasta enderezar por completo los brazos sin llegar a bloquearlos del todo. Apretad los tríceps y el pecho con fuerza arriba, al tiempo que expulsáis el aire. Repetid.","https://www.cambiatufisico.com/wp-content/uploads/press-banca-agarre-cerrado.jpg","tríceps,pectoral,deltoides anterior"
Curl de muñeca con mancuerna palmas abajo,Antebrazo,"","https://www.cambiatufisico.com/wp-content/uploads/2011/03/Curl-de-muneca-con-mancuerna-palmas-abajo.jpg","braquial,braquiorradial"
Curl de muñeca con mancuerna palmas arriba,Antebrazo,"","https://www.cambiatufisico.com/wp-content/uploads/2011/03/Curl-de-muneca-con-mancuerna-palmas-arriba.jpg","braquial,braquiorradial"
Elevaciones de disco con dedos de pie,Antebrazo,"","https://www.cambiatufisico.com/wp-content/uploads/2011/03/Elevaciones-de-disco-con-dedos-de-pie.jpg","braquial,braquiorradial"
Encogimientos con barra,Trapecio,"Cuándo Al final del entrenamiento, después de entrenar el deltoides. Inicio De pie, sujetar una barra por delante de los muslos con agarre hacia abajo ya la anchura de los hombros. Flexionar las rodillas ligeramente. Ejecución Mientras se mantienen los brazos extendidos, elevar (encoger) los hombros dirigiéndolos hacia arriba (no hacia atrás) tanto como sea posible. Mantener la contracción contando uno y, a continuación, relajar los hombros para bajar la barra de nuevo y volver a la posición de inicio. Variaciones Realizar este ejercicio con la barra por detrás. Esto ayuda a mantener los hombros hacia atrás y el pecho hacia fuera. Consejo avanzado  Colocar las manos hacia fuera en un agarre más ancho que el de la distancia entre los hombros para crear una línea de tracción ligeramente diferente. Alternativas Encogimiento con mancuerna, encogimiento en máquina Smith, encogimiento con mancuerna inclinado prono y encogimiento en polea.","https://www.cambiatufisico.com/wp-content/uploads/2011/02/Encogimientos-con-barra.jpg","Trapecio"
Remo al mentón con barra,Trapecio,"Levantad los brazos para tirar de la barra en línea recta hacia la barbilla, elevando los codos. Mantened la barra cerca del cuerpo en todo momento y el torso recto con la curva natural de la columna. En el punto alto los codos apuntarán hacia los lados. Mantened la posición un segundo antes de regresar al inicio y repetir.","https://www.cambiatufisico.com/wp-content/uploads/2011/02/Remo-al-menton-con-barra.jpg","Trapecio"
Press de hombro con mancuernas sentado,Hombro,"Inicio: Sentado en un asiento de espalda baja, o banco ajustable, mantenerse erguido mientras se sujetan un par de mancuernas. Comenzar elevándolas por fuera de los hombros con las palmas dirigidas hacia delante. Ejecución: Hacer press con las mancuernas llevándolas hacia arriba a la vez que se contraen los músculos de los hombros y se extienden los codos hasta que el peso quede por encima de la cabeza, justamente antes de bloquear los brazos. Lentamente, bajar las mancuernas a la posición de comienzo. Variaciones: Para implicar aún más a la porción anterior del deltoides, realizar el movimiento con las palmas dirigidas hacia dentro (el agarre neutro) durante todo el movimiento. Consejo avanzado: Como con el press sobre la cabeza con barra, se puede realizar este ejercicio estando de pie. Alternativas: Press con barra sobre la cabeza, press sobre la cabeza en máquina Smith y press sobre la cabeza en máquina.","https://www.cambiatufisico.com/wp-content/uploads/2011/02/Press-de-hombro-con-mancuernas-sentado.jpg","deltoides"
